id,title,url
"administration","Administration et action publique","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/administration.png"
"agriculture","Agriculture, sylviculture et pêche","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/agriculture.png"
"amenagement","Aménagement et urbanisme","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/amenagement.png"
"citoyennete","Citoyenneté et démocratie","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/citoyennete.png"
"culture","Culture, patrimoine et tourisme","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/culture.png"
"economie","Économie et entreprises","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/economie.png"
"energie","Énergies et réseaux","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/energie.png"
"environnement","Environnement et climat","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/environnement.png"
"equipement","Équipements, bâtiments et logement","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/equipement.png"
"formation","Formation, éducation et emploi","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/formation.png"
"imagerie","Imagerie et occupation du sol","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/imagerie.png"
"limites-administratives","Limites administratives et réferentiels","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/limites-administratives.png"
"mer","Mer, littoral et montagne","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/mer.png"
"mobilite","Mobilité et transport","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/mobilite.png"
"sante","Sciences, recherche et innovation","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/sciences.png"
"sciences","Social, santé et sports","https://raw.githubusercontent.com/camptocamp/ckanext-pigma_theme/master/ckanext/pigma_theme/fanstatic/sante.png"
